Inf,Rec,Name,Transfer Value,Pts/Gm,Aer A/90,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
,  ,Alexey Korzun,£24K  £70K,1.27,3.51,1.14,0,18%,1.14,0.21,18%,2,11.6km,0.62,42.06,37.92,7.23,9.4,5.27,0.21,1.45,0.72,0.41,0.93,1.34,15.19,2.38,2.69,0,32%,1.65,84%,90%,9.51,0,0.1,2.38,0.1
,  ,Jordan Jones,£22K  £65K,2.35,3.59,1.62,0.07,12%,5.28,0.42,8%,3,12.4km,0.99,44.88,39.28,10,11.97,3.13,0.18,0.77,0.28,0.63,1.16,1.55,20.31,1.27,2.78,0,45%,1.87,85%,88%,10.21,0.11,0.32,2.25,0.18
,  ,David Higgins,£18K  £55K,1.21,3.32,1.55,0.14,17%,0.65,0.11,17%,4,12.3km,0.51,51.04,44.37,9.71,9.26,4.5,0.08,0.28,0.03,0.42,1.35,1.24,10.98,1.38,2.79,0.03,47%,1.86,80%,87%,9.71,0.17,0.23,1.55,0.23
Wnt,  ,Joren Mestdagh,£18K  £50K,1.59,3.46,1.22,0,15%,0.43,0.07,15%,2,12.3km,0.63,45.2,39,10.19,14.62,2.87,0.13,0.49,0.23,0.53,0.96,1.75,12.11,0.79,2.8,0,35%,2.24,87%,86%,10.85,0.13,0.1,0.82,0.07
,  ,Grzegorz Gawroński,£16K  £50K,1.5,3.86,1.74,0,40%,0.28,0.11,40%,2,12.8km,0.62,50.49,44.89,9.4,5.88,4.53,0.11,0.62,0,0.39,1.01,1.01,11.98,1.29,2.13,0.11,45%,1.68,83%,89%,10.3,0.06,0.22,1.29,0.17
Ret,  ,Demir Ege Tıknaz,£16K  £50K,0.97,4.22,2.22,0.18,55%,0.41,0.23,56%,5,12.5km,0.82,50.78,45.2,9.79,7.07,4.4,0.14,0.5,0.05,0.68,1.09,1.9,14.42,1.36,2.63,0.27,53%,2.4,95%,89%,10.16,0.05,0.73,1.36,0.27
,  ,Evgeniy Burko,£16K  £45K,1.08,3.62,1.21,0,16%,0.6,0.1,17%,1,12.6km,0.8,45.5,41.89,10.25,12.56,2.81,0.2,0.5,0.1,0.4,1,1.31,14.87,1.1,2.81,0,33%,2.21,96%,92%,10.75,0.2,0.3,1.1,0.2
,  ,Danny O'Neill,£16K  £45K,1.9,3.37,0.76,0.11,16%,0.51,0.08,17%,3,12.7km,0.62,46.5,40.98,10.83,11.62,3.34,0.28,0.82,0.34,0.59,1.27,1.73,15.02,1.1,1.87,0,23%,1.47,81%,88%,10.61,0.14,0.28,1.1,0.08
,  ,Liam Brüning,£12K  £35K,1.08,4.52,0.92,0.11,13%,1.18,0.16,14%,2,12.8km,1.4,30.32,25.85,9.96,20.25,2.05,0.81,2.53,0.75,0.22,0.7,1.56,11.42,1.13,2.48,0,20%,1.45,77%,85%,8.89,0.05,0.27,2.37,0.16
Int,  ,Alex Ntege,£10K  £30K,2.11,5.47,2.83,0.75,15%,1.01,0.16,16%,5,12.1km,0.63,43.98,37.65,8.68,12.46,2.74,0.31,1.01,0.35,0.31,0.88,1.2,14.85,1.16,3.21,0,52%,2.11,82%,86%,10.82,0.03,0.16,1.29,0.09
,  ,Maxim Kaminskiy,£10K  £30K,1.33,3.34,0.82,0.16,12%,0.65,0.08,13%,1,12.5km,0.57,47.45,41.66,8.89,11.49,3.75,0.33,0.73,0.16,0.49,1.3,1.39,10.52,1.22,2.53,0,24%,1.39,71%,88%,10.76,0,0.24,1.22,0.16
Lst,  ,Jošt Peršič,£10K,0.67,4.69,1.03,0,,1.43,0,0%,0,11.5km,1.59,45.44,40.11,8.91,19.18,3.02,0,0.08,0,0.8,1.11,2.07,4.38,0.95,2.15,0,22%,1.67,88%,88%,8.83,0.08,0.08,1.59,0.16
,  ,Rhodri Jones,£9K  £26K,1.06,4.34,1.03,0.07,4%,0.76,0.03,5%,1,12.3km,0.65,45.14,38.53,8.75,11.02,2.86,0.21,0.93,0.41,0.41,1.1,1.76,17.56,0.65,2.48,0,24%,1.07,63%,85%,10.78,0.07,0.21,0.65,0.1
Wnt,  ,Paul Dunne,£9K  £26K,1,5.76,2.88,0.33,13%,1.12,0.15,14%,5,12.3km,0.61,46.32,40.14,8.85,11.51,3.64,0.24,0.67,0.12,0.3,1.18,1.48,14.75,1.45,3.15,0.03,50%,2.09,78%,87%,9.91,0.15,0.39,1.54,0.15
Int,  ,Elione FernandesNeto,£8K  £26K,1.82,4.53,1.98,0.19,,0.66,0,0%,0,12.1km,0.85,45.57,38.68,9.91,15.47,3.3,0.28,1.13,0.47,0.66,1.42,1.42,15.94,1.13,1.98,0,44%,1.7,86%,85%,10.94,0,0.47,1.13,0.28
,  ,Zander Main,£8K  £26K,1.55,3.93,0.78,0.11,40%,0.28,0.11,40%,2,13.2km,0.89,50.99,43.61,9.86,7.54,3.82,0.11,0.33,0,0.67,1.33,1.77,13.97,0.83,1.94,0.39,20%,1.33,80%,86%,9.03,0,0.22,0.83,0.28
,  ,Nico Neukirch,£8K  £24K,1.14,3.99,1.38,0.41,,0.26,0,0%,0,12.6km,0.51,49.55,44.03,10.43,6.7,5.16,0.05,0.26,0.05,0.56,0.77,1.94,13.86,1.43,2.35,0.15,35%,1.69,72%,89%,9,0.2,0.51,1.43,0.2
Wnt,  ,Hubert Grela,£8K  £24K,1.25,4.36,0.98,0,,4.67,0.61,13%,0,13.5km,1.66,33.91,28.81,12.1,19.17,1.78,0.61,1.66,0.8,0.55,0.31,2.21,8.48,0.61,2.03,0,23%,1.29,88%,85%,10.81,0,0.06,1.29,0.18
Opt,  ,Stuart Gibson,£7K  £22K,1.58,5.44,3.23,0.47,10%,0.47,0.03,7%,1,12.3km,0.91,51.57,45.59,9.04,6.69,4.7,0.3,0.71,0.17,0.64,1.14,1.51,10.78,1.24,2.08,0.03,59%,1.61,86%,88%,8.5,0,0.4,1.34,0.44
Wnt,  ,János Bernáth,£7K  £20K,1,3.51,0.5,0.08,4%,0.95,0.04,4%,1,12.1km,0.95,45,39.24,9.11,12.78,3.55,0.72,1.6,0.38,0.38,1.07,1.72,9.23,1.94,2.44,0,14%,1.53,77%,87%,11.56,0.08,0.27,2.21,0.31
Opt,  ,Midhat Feraget,£6K  £20K,1.08,5.1,2.65,0.28,11%,0.85,0.09,11%,3,11.9km,0.63,48.2,41.33,8.66,14.46,3.91,0.25,0.88,0.35,0.19,1.07,1.67,11.84,2.05,3.12,0,52%,2.05,83%,86%,11.62,0.13,0.47,2.55,0.22
Opt,  ,Nathan Wilson,£6K  £18K,1.19,5.68,2.59,0.5,28%,1.13,0.33,29%,13,11.9km,0.55,44.57,39.12,8.32,12.44,3.89,0.25,0.7,0.23,0.38,1.03,1.88,12.89,1.38,3.07,0,46%,1.76,78%,88%,10.95,0,0.4,1.38,0.2
Wnt,  ,Yuriy Voloshyn,£6K  £18K,0.63,5.86,3,0.29,8%,0.88,0.07,8%,1,12.9km,0.66,49.32,43.39,10.7,9.67,3.59,0,0.15,0,0.51,0.95,1.17,7.77,0.81,1.91,0.59,51%,1.25,71%,88%,8.65,0,,0.81,
,  ,Elliot Watts,£6K  £18K,1.86,3.46,1.59,0.11,25%,1.01,0.18,18%,5,12.0km,0.68,45.16,39.61,10.27,7.71,3.82,0.25,1.3,0.72,0.36,0.72,1.77,14.06,1.33,2.6,0,46%,1.95,95%,88%,11.71,0.07,0.76,1.33,0.58
,  ,Oleg Verbitskiy,£6K  £18K,1.31,3.14,0.69,0.1,8%,1.18,0.1,8%,1,12.1km,0.39,44.41,37.53,8.55,13.85,3.14,0.39,0.59,0.2,0.39,0.98,1.67,9.73,1.47,3.14,0,22%,2.06,91%,85%,11.3,0,0.39,1.47,0.29
Wnt,  ,Marek Pavlovic,£6K  £18K,0.71,3,0.97,0.04,26%,0.8,0.21,26%,5,12.0km,0.51,44.13,38.21,9.69,12.61,4.15,0.13,0.3,0.13,0.38,0.63,1.73,14.77,1.69,2.58,0,32%,1.35,64%,87%,11.21,0,0.21,1.69,0.08
Inj,  ,Le Van Hanh,£6K  £16K,0.9,3.34,0.92,0.09,3%,1.19,0.05,4%,1,11.7km,0.73,44.98,38.8,8.51,13.91,3.43,0.14,0.32,0.05,0.14,0.92,1.42,10.62,1.42,3.57,0,27%,2.24,83%,86%,10.84,0.09,0.14,1.42,0.27
Opt,  ,Jack Brunt,£5K  £16K,1.15,4.08,1.11,0.06,20%,0.55,0.11,20%,4,12.1km,0.8,44.78,38.6,8.18,12.42,3.38,0.33,0.64,0.22,0.55,0.86,1.55,10.56,1.22,2.58,0,27%,1.28,67%,86%,10.45,0,0.17,1.22,0.17
Opt,  ,Conor Mackay,£5K  £16K,1.33,5.03,0.69,0.05,14%,1.29,0.18,14%,4,13.1km,1.2,31.17,26,12.31,22.45,1.8,0.6,1.89,0.88,0.28,0.51,1.52,8.58,1.24,2.4,0,14%,1.48,78%,83%,10.33,0.05,0.41,2.58,0.14
Lst,  ,Dejan Radović,£5K,0.67,4.15,2.14,0.14,12%,0.55,0.07,13%,1,12.3km,0.76,45.55,41.13,8.71,11.2,4.01,0.07,0.28,0.07,0.41,1.11,1.45,11.82,1.73,2.83,0,52%,2.14,100%,90%,11.41,0,0.14,1.73,0.07
Wnt,  ,Vladimir Khalimonchik,£3.5K  £10K,1.2,3.26,0.27,0,22%,1.22,0.27,22%,2,12.2km,0.68,44.46,38.75,7.34,17.54,3.53,0.14,0.27,0.27,,0.82,1.63,10.6,1.5,3.13,0,8%,2.72,87%,87%,10.74,0,,1.5,
,  ,Alexandr Berg,£3.5K  £10K,0.55,4.51,1.26,0,,0.94,0,0%,0,11.2km,0.84,41.49,36.15,6.5,16.55,3.67,0.1,0.42,0,0.31,0.73,1.57,11.42,1.26,2.83,0,28%,1.89,86%,87%,9.74,0,0.1,1.26,0.1
,  ,Rafael Camacho,£3.5K  £10K,1.17,5.08,1.56,0.31,23%,0.76,0.18,24%,4,11.8km,1.02,44.93,39.41,8.37,15.5,3.16,0.36,0.98,0.31,0.58,1.2,1.38,10.82,1.07,3.61,0,31%,2.54,80%,88%,10.91,0,0.31,1.07,0.09
Opt,  ,Matthew Hamilton,£3K  £10K,1.42,3.82,1.56,0.03,5%,3.85,0.31,8%,1,12.1km,1.22,44.01,38.32,8.82,10.69,3.2,0.37,1.05,0.31,0.48,1.02,1.39,11.74,1.1,2.4,0,41%,1.36,77%,87%,10.15,0,0.23,1.36,0.11
,  ,Mato Milić,£3K  £9K,2.21,5.1,3.04,0.35,10%,0.88,0.09,10%,2,12.5km,0.62,44.38,37.61,9.37,10.78,3.3,0.4,1.06,0.35,0.44,1.19,1.28,18.83,1.14,2.82,0,59%,1.63,63%,85%,10.87,0.09,0.57,1.14,0.18
Unh,  ,Leon Bošnjak,£2.5K  £7K,1.82,3.79,1.26,0.23,,0.8,0,0%,0,12.3km,0.57,43.91,38.51,9.54,11.49,4.48,0.34,0.57,0.23,0.46,1.49,1.38,14.25,2.53,2.41,0,33%,1.61,93%,88%,11.38,0.11,0.57,2.53,0.23
Int,  ,Pat Spillane,£2.5K  £7K,1.79,3.85,0.87,0,25%,0.82,0.21,25%,4,11.5km,0.92,43.49,37.48,8.47,14.38,3.29,0.21,0.51,0.26,0.41,1.28,1.33,10.27,1.03,2.62,0,23%,1.49,81%,86%,10.11,0.05,0.15,1.03,0.05
Opt,  ,Ludovic Cretin,£2K  £5K,0.78,3.56,1.28,0.14,26%,1.07,0.28,27%,8,12.5km,1,44.68,38.09,8.62,13.99,3.99,0.11,0.36,0.14,0.39,1.25,1.57,11.46,1.78,2.42,0,36%,1.28,82%,85%,10.54,0.11,0.21,1.78,0.07
,  ,Philip VincentDay,£1.5K  £5K,2.38,4.77,3.26,0.41,6%,0.87,0.06,7%,1,11.7km,0.64,45.32,40.55,8.14,9.02,3.72,0.41,0.87,0.41,0.29,0.93,1.11,16.12,1.69,2.68,0,68%,1.45,83%,89%,9.31,0.12,0.76,1.69,0.47
,  ,Jack Lloyd,£1K  £2.5K,1.64,3.93,1.72,0.2,18%,0.54,0.1,18%,2,12.3km,0.34,52.08,45.34,9.15,6.49,5.56,0.15,0.59,0.05,0.39,1.18,0.98,16.38,1.57,2.95,0.2,44%,1.97,71%,87%,8.41,0.2,0.59,1.57,0.34
,  ,Joseff Windsor,£500  £2K,0.83,3.41,0.68,0.04,19%,0.84,0.16,19%,4,12.0km,0.6,48.49,42.2,8.74,11.78,3.69,0.12,0.32,0.12,0.28,1.08,1.68,7.41,1.52,2.93,0,20%,2,85%,87%,9.86,0.16,0.16,1.56,
Trn,  ,Matty Hart,£0,1.26,3.43,1.17,0.04,18%,0.8,0.15,18%,4,12.4km,0.84,44.16,38.73,7.83,11.91,3.72,0.18,0.51,0.22,0.29,1.06,1.97,10.28,1.42,2.77,0,34%,1.68,81%,88%,9.95,0,0.29,1.6,0.36
Wnt,  ,Luke Davies,£0,0.77,5.63,2.82,0.3,31%,0.59,0.19,31%,5,12.5km,0.52,52.73,46.24,9.45,7.3,3.41,0.04,0.3,0.11,0.37,1.3,1.3,11.15,0.93,2.33,0.07,50%,1.67,80%,88%,8.86,0,0.37,1.22,0.26
,  ,Dylan Reid,£0,1.78,5.13,1.97,0.39,16%,0.36,0.06,17%,2,12.2km,0.39,50.3,44.28,8.94,6.08,4.59,0.15,0.42,0.12,0.39,1.1,1.19,14.54,1.31,2.62,0.27,38%,2.15,82%,88%,9.54,0.12,0.39,1.31,0.21
Wnt,  ,Adam Davies,£0,0.75,3.41,1.28,0.07,14%,0.51,0.07,14%,2,12.9km,0.37,51.16,46.03,9.49,7.11,4.1,0.11,0.73,0.18,0.07,1.17,1.39,10.92,0.95,2.31,0.22,38%,1.76,79%,90%,9.05,0.18,0.48,0.95,0.15
,  ,Dave Ellis,£0,0.44,3.91,1.18,0.04,8%,7.82,0.68,9%,2,12.0km,0.61,43.56,38.62,7.44,17.01,3.27,0,0.27,0.19,0.34,0.91,1.52,8.96,1.14,2.54,0,30%,1.48,74%,89%,10.06,0.04,0.34,2.28,0.27
Inj,  ,Roelof Schaap,£0,1.52,2.9,0.91,0.23,12%,0.45,0.06,13%,1,12.4km,0.34,49.68,43.72,10.39,8.46,4.83,0.23,0.45,0,0.4,0.91,2.16,12.04,1.48,2.56,0.34,31%,1.76,76%,88%,9.94,0,0.28,1.48,0.28
Int,  ,Abdenour Hadjar,£0,0.85,4.19,1.81,0.16,27%,0.9,0.25,27%,3,12.1km,0.74,43.81,38.88,9.86,14.22,2.79,0.08,0.82,0.33,0.33,0.66,1.48,11.75,0.66,2.55,0,43%,1.97,80%,89%,12,0,0.08,0.66,0.08
,  ,Gökay Arslan,£0,2.11,3.38,1.21,0.08,38%,1.05,0.4,38%,5,11.5km,0.48,44.6,39.85,8.37,12.08,4.19,0.56,1.05,0.24,0.24,1.45,1.37,13.44,1.85,3.14,0,36%,1.21,58%,89%,10.79,0.08,0.32,1.85,0.4
,  ,Christopher Hoyte,£0,1.97,3.58,0.64,0,15%,1.69,0.24,14%,3,12.2km,0.94,42.3,35.82,9.82,9.38,3.24,0.67,1.82,0.88,0.4,0.78,1.62,17.98,1.11,2.7,0,18%,1.72,77%,85%,10.83,0.07,0.67,1.99,0.24
,  ,Luke Dalglish,£0,2.14,4.29,2.35,0.12,11%,1.74,0.28,16%,2,11.6km,1.25,49.05,43.18,7.61,13.44,3.28,0.32,0.93,0.49,0.4,1.01,1.5,11.53,1.42,2.91,0,55%,1.54,84%,88%,10.32,0.04,0.45,2.51,0.16
U23,  ,Peter Bech,£0,0.75,3.91,0.95,0.05,18%,2.21,0.4,18%,3,12.0km,0.5,43.49,37.93,7.32,13.9,3.66,0.1,0.45,0.1,0.55,1.35,1.51,13.49,1.25,2.26,0,24%,1.25,76%,87%,11.09,0.05,0.4,1.25,0.35
,  ,Ben Jones,£0,0.42,3.59,1.48,0.08,10%,1.06,0.11,11%,3,11.7km,0.87,43.85,37.94,7.07,13.51,3.56,0.11,0.57,0.19,0.34,0.76,1.59,11.69,1.55,2.53,0,41%,1.55,75%,87%,9.99,0.04,0.04,1.55,0.08
,  ,Ioan Davies,£0,0.77,4.87,1.25,0,5%,0.88,0.05,5%,1,12.6km,1.16,32.34,28.16,7.84,21.02,2.04,0.19,0.88,0.37,0.23,1.11,1.44,9.97,1.07,1.86,0,26%,1.11,73%,87%,7.28,0,0.37,1.07,0.09
,  ,Jonathan Edgar,£0,0.73,3.68,0.87,0.11,,1.19,0,0%,0,11.1km,1.08,43.38,38.62,7.14,18.71,3.68,0.32,0.76,0.11,0.54,1.3,2.16,8.44,1.41,2.6,0,24%,1.73,89%,89%,9.52,0,0.32,1.41,
Int,  ,Peter Salik,£0,2.44,4.56,2.84,0.43,22%,0.77,0.17,22%,2,12.0km,0.69,44.87,37.91,10.92,12.98,3.7,0.43,0.95,0.26,0.26,0.69,1.55,13.75,1.12,2.23,0,62%,1.55,78%,84%,11.26,0.26,0.09,1.12,0.17
,  ,Derek Egan,£0,0.79,4.74,2.23,0.43,36%,0.79,0.29,36%,4,12.0km,0.58,43.42,37.24,9.56,13.73,3.31,0,0.14,0.07,0.5,1.15,1.8,13.8,1.37,2.88,0,47%,2.01,82%,86%,11.07,0,0.29,1.37,0.14
Wnt,  ,Sam Lindey,£0,1.19,3.19,1.55,0.23,9%,0.32,0.03,9%,1,13.3km,0.73,51.11,43.86,12.74,5.26,4.79,0.35,0.7,0.18,0.23,0.88,1.64,13.09,1.2,3.1,0.32,49%,2.19,74%,86%,9.73,0.2,0.26,1.2,0.12
Inj,  ,Charlie Nildén,£0,1.24,2.29,0.65,0.04,30%,0.36,0.11,30%,3,12.6km,0.84,47.71,41.53,10.68,6.79,4.21,0.07,0.29,0,0.33,0.51,2.14,14.79,1.2,2.51,0.15,29%,1.42,72%,87%,9.77,0.04,0.76,1.2,0.4
Wnt,  ,Emyr Howard,£0,0.95,3.67,2,0.33,14%,1.6,0.2,13%,3,11.6km,0.6,44.67,39.07,8.47,10.47,3.53,0.27,0.33,0.13,0.4,1.4,1.07,10.53,1.47,2.8,0,55%,1.93,94%,87%,10.2,0.07,,1.6,0.07
,  ,Rhodri Graham,£0,0.66,4.08,1.58,0.04,31%,6.67,0.88,13%,6,12.3km,0.75,43.49,38.31,8.38,17.6,3.69,0.18,0.66,0.13,0.39,0.97,1.45,8.47,1.36,2.63,0,39%,1.76,89%,88%,10.66,0.04,0.39,2.06,0.31
Wnt,  ,Sebastião de Paiva,£0,0.4,2.93,0.67,0.17,14%,1.17,0.17,14%,2,12.1km,1,42.36,37.59,10.05,14.4,3.68,0.33,0.5,0.25,0.17,0.92,1.59,11.72,1.26,3.01,0,23%,1.84,81%,89%,10.63,0.17,0.17,1.26,
Wnt,  ,Maris Ksenzovs,£0,1.4,5.18,2.74,0.2,7%,1.95,0.2,10%,1,12.5km,1.27,44.95,38.89,9.67,13.88,4.3,0.2,0.59,0.29,0.1,0.78,1.07,8.4,2.05,3.62,0,53%,2.25,77%,87%,10.46,0,0.59,2.05,
Wnt,  ,John Alexander,£0,0.74,4.11,0.83,0,18%,1.08,0.2,18%,4,11.8km,0.54,44.54,38.91,8.71,14.29,3.77,0.1,0.2,0.05,0.44,1.13,1.32,8.66,1.57,2.3,0,20%,1.42,78%,87%,9.79,0,0.2,1.57,0.1
,  ,Maxim Kosenko,£0,0.76,3.45,1.92,0.05,25%,1.18,0.3,25%,2,11.7km,0.69,50.69,45.02,8.57,8.13,4.09,0.44,1.08,0.05,0.44,1.38,1.63,9.75,1.08,2.51,0.05,56%,1.82,77%,89%,8.82,0.05,0.34,1.08,0.1
Wnt,  ,Ryan O'Connell,£0,0.6,3.63,0.85,0.12,33%,0.73,0.24,33%,2,12.1km,0.73,43.49,37.19,8.96,10.66,4.12,0,0.97,0.24,0.73,0.85,1.57,5.69,2.06,2.06,0,23%,1.33,85%,86%,9.45,0,0.12,2.06,
,  ,Tómas Eyjólfsson,Not for Sale,1.58,5.61,1.27,0,11%,7.72,0.85,11%,1,12.4km,0.95,32.89,28.03,9.31,15.12,2.43,0.11,0.74,0.21,0.21,0.32,0.95,14.59,0.95,2.33,0,23%,0.85,57%,85%,9.1,0,0.95,0.95,0.11
,  ,Ron Dayan,Not for Sale,1.85,3.55,0.7,0,16%,3.52,0.3,9%,5,12.1km,1.09,44.91,38.66,10.01,12.84,3.16,0.55,1.37,0.52,0.39,0.52,1.73,12.84,1.15,2.61,0,20%,1.82,83%,86%,11.32,0,0.27,1.97,0.15
,  ,Trond Sjønnesen,Not for Sale,1.45,2.49,0.83,0,22%,1.84,0.55,30%,2,13.0km,1.01,49.74,43.66,12.71,10.32,4.05,0.92,2.03,0.83,0.18,0.46,1.47,17.41,1.29,3.5,0,33%,2.58,88%,88%,11.42,0,0.18,1.29,0.18
,  ,Moshe Dayan,Not for Sale,0.87,3.08,0.79,0.03,25%,0.92,0.24,26%,7,12.3km,1.16,45.7,39.2,10.68,11.64,3.53,0.48,1.64,0.55,0.27,0.72,1.75,12.87,1.3,3.05,0,26%,1.68,71%,86%,10.72,0.07,0.55,1.3,0.27
,  ,Jordan Newey,Not for Sale,1.05,2.58,0.45,0,33%,9.15,1.51,17%,8,12.8km,2.13,46.57,41.13,11.63,13.08,3.92,0.24,1.2,0.45,0.28,0.72,1.55,11.29,1.89,3.13,0,17%,2.07,90%,88%,10.67,0,0.38,2.03,0.24
,  ,Leandro Staelens,Not for Sale,1.16,3.39,1.81,0.08,6%,1.14,0.08,7%,2,12.3km,0.99,42.18,36.65,10.38,11.84,3.24,0.28,0.83,0.28,0.28,0.91,1.54,12.27,1.5,2.96,0,53%,1.7,72%,87%,10.69,0.04,0.39,1.7,0.28
,  ,Thibault Lebrun,Not for Sale,1.74,3.63,1.61,0.39,,0.42,0,0%,0,13.0km,0.42,50.83,44.79,12.39,5.29,4.67,0.06,0.27,0.03,0.3,0.83,1.81,17.39,1.63,2.59,0.15,44%,1.87,78%,88%,10.02,0.06,0.3,1.63,0.18
,  ,Emil Samardžić,Not for Sale,1.14,4.56,1.65,0.14,17%,0.99,0.17,17%,5,12.5km,0.96,36.12,31.6,10.32,15.87,2.57,0.45,1.41,0.38,0.45,0.79,1.75,10.69,0.96,2.74,0,36%,1.95,88%,87%,10.25,0.03,0.38,0.96,0.14
,  ,Igor Tumaszyk,Not for Sale,1.27,4.12,1.65,0.26,18%,0.6,0.11,19%,3,12.3km,1.24,44.66,38.67,9.51,14.41,3.67,0.37,1.35,0.37,0.52,0.79,1.91,11.83,1.12,2.66,0,40%,1.53,68%,87%,10.37,0.04,0.64,1.12,0.19
Int,  ,Sepehr Gohardani,Not for Sale,1.64,4.31,2.2,0.34,15%,0.4,0.06,15%,2,13.4km,0.53,55.04,50.3,12.68,6.17,3.84,0.22,0.56,0.12,0.37,0.74,1.89,17.45,0.84,2.76,0.19,51%,1.8,63%,91%,9.64,0.15,0.4,1.05,0.19
IPR,  ,Vinícius Duarte,Not for Sale,1.78,2.56,0.87,0.02,19%,0.82,0.16,19%,7,12.1km,0.52,47.57,40.13,10.95,10.38,2.97,0.41,1.44,0.52,0.09,0.52,1.62,15.65,1.23,2.78,0,34%,1.53,67%,84%,10.86,0.05,0.39,1.23,0.27
,  ,Mihai Cheţan,Not for Sale,1.35,3.33,0.76,0.24,20%,0.34,0.07,20%,2,12.3km,0.79,51.65,46.46,10.62,7.35,4.98,0.1,0.41,0.1,0.52,1.03,1.82,13.23,1.17,2.99,0.07,23%,1.62,71%,90%,9.28,0.07,0.27,1.17,0.21
,  ,Victor Hoen,Not for Sale,1.09,3.18,0.63,0.04,11%,0.71,0.08,11%,2,12.5km,0.75,44.51,38.11,10.14,10.29,4.05,0.24,0.75,0.08,0.35,1.1,1.61,13.16,1.37,2.67,0,20%,1.81,87%,86%,9.7,0.04,0.39,1.37,0.16
,  ,Martins Fjodorovs,Not for Sale,1.71,3.05,0.76,0,20%,0.42,0.08,20%,1,12.3km,1.02,43.98,38.31,8.81,14.58,4.32,0.42,1.1,0.25,0.34,0.76,1.44,13.31,1.61,2.88,0,25%,1.78,91%,87%,10.25,0.08,0.42,1.61,0.25
,  ,Paulo Alfaro,Not for Sale,1.41,3.48,1.18,0.09,28%,0.33,0.09,29%,2,13.0km,1.79,32.9,28.24,11.86,15.63,2.35,0.75,2.59,1.22,0.19,0.66,1.46,12.29,1.18,2.45,0,34%,1.46,66%,86%,11.96,0.14,0.24,1.18,0.05
,  ,Johan Wiklund,Not for Sale,1.36,3.51,1.69,0,20%,0.65,0.13,20%,1,13.7km,1.17,43.25,37.27,11.95,12.6,2.21,0.39,0.91,0.26,0.65,0.78,1.56,12.99,1.04,2.08,0,48%,1.43,85%,86%,11.43,0.13,0.26,1.04,0.39
,  ,Rayan Brossard,Not for Sale,1.33,3.57,0.67,0.14,27%,0.79,0.21,27%,9,12.1km,0.81,44.73,38.75,10.93,12.27,3.38,0.48,1.38,0.4,0.36,0.91,1.83,15.65,1.24,2.67,0.07,19%,2.02,86%,87%,10.74,0.1,0.21,1.79,0.02
,  ,Pablo Correa,Not for Sale,1.24,2.95,0.93,0.07,14%,1.61,0.21,13%,4,12.1km,1.1,41.81,36.45,10.37,13.25,2.95,0.17,0.93,0.38,0.31,0.65,1.92,13.32,1.3,3.12,0,31%,1.54,64%,87%,10.68,0.07,0.55,1.3,0.48
,  ,Marek Danko,Not for Sale,1.57,2.64,1.14,0.1,25%,0.83,0.21,25%,4,12.5km,0.78,48.78,43.13,10.94,8.45,4.25,0.16,0.47,0.16,0.26,0.78,1.66,17.06,1.97,3.21,0.05,43%,1.87,78%,88%,10.16,0.05,0.36,1.97,0.57
,  ,Kerim Çinkılınç,Not for Sale,1.69,3.7,0.9,0.05,26%,0.79,0.21,27%,4,13.9km,1.75,34.02,28.36,13.02,14.23,2.33,0.85,2.38,0.9,0.21,0.53,1.8,13.97,1.43,2.43,0,24%,1.69,70%,83%,12.12,0.11,0.21,1.43,0.05
,  ,Leonardo Brioschi,Not for Sale,1.35,3.13,1.25,0.04,15%,0.72,0.11,16%,3,12.9km,0.42,50.42,43.96,12.11,9.55,3.74,0.11,0.79,0.34,0.34,0.3,1.02,11.47,1.02,3.25,0.15,40%,2.11,71%,87%,10.26,0,0.23,1.02,0.04
,  ,Mattias Slutås Toven,Not for Sale,1.62,6.17,2.82,0.26,,0.53,0,0%,0,12.7km,0.79,50.95,45.4,9.96,7.23,5.11,0.26,0.88,0.44,0.53,0.88,1.41,14.28,1.41,2.64,0,46%,1.94,81%,89%,9.7,0,0.26,1.41,0.44
Inj,  ,Abdelaziz Gherbi,Not for Sale,1.33,4.48,2.16,0.37,29%,0.69,0.2,29%,5,12.1km,0.81,47.42,41.6,11.23,8.3,4.11,0.04,0.2,0.08,0.24,0.61,1.75,18.36,1.22,2.65,0.28,48%,2.04,75%,88%,11.15,0.04,0.41,1.22,0.24
,  ,Hadi Çelik,Not for Sale,1.94,3.83,1.28,0.04,8%,0.86,0.08,9%,2,13.3km,1.73,34.59,29.59,13.16,13.38,1.88,0.49,1.95,0.64,0.11,0.34,1.88,13.27,1.2,3.38,0,33%,1.99,70%,86%,11.02,0.04,0.26,1.2,0.15
