Inf,Rec,Name,Transfer Value,Pts/Gm,CA,Division,Aer A/90,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
,  ,Malte Horter,£45K  £130K,2.69,97,German Regional Division Northeast,7.28,4.09,0.65,,0.16,0,0%,0,9.2km,0.16,47.54,39.27,3.85,1.8,3.27,0.16,0.25,0.16,0.33,1.23,1.06,20.29,0.65,0.98,0.65,56%,1.15,74%,83%,3.03,0.33,,0.65,0.25
,  ,Nélson Azevedo,£8K  £24K,1.85,97,Portugal Championship,7.02,5.08,0.97,,0.08,0,0%,0,8.0km,0.32,44.6,35.08,3.06,1.94,3.06,0.32,1.13,0.16,0.24,1.29,0.97,14.35,0.24,0.97,0.24,72%,1.29,89%,79%,2.1,0.16,,0.24,0.08
,  ,Pelle Lossau,£50K  £150K,2.41,97,German Regional Division Bavaria,8.41,6.59,0.82,,0.12,0,0%,0,10.2km,,50.71,41.47,4.47,2.35,3.71,0.12,0.35,0,0.47,1.35,1.29,21.76,0.29,1.12,0.59,78%,0.94,76%,82%,3.18,0.24,0.29,0.29,
,  ,Sandy Banner,£40K  £120K,1.5,97,Sports Direct Premiership,9.04,6.38,1.39,,0.06,0,0%,0,10.5km,0.19,56.31,47.84,4.11,3.48,4.17,0.06,0.63,0.13,0.38,1.39,1.01,15.74,0.32,1.58,1.33,71%,1.45,88%,85%,4.11,0.19,0.19,0.32,
,  ,Massimo Compierchio,£70K  £210K,1.53,97,Ukrainian Premier League,8.47,6.23,0.98,50%,0.14,0.07,50%,1,11.8km,0.21,52.49,44.86,3.78,2.8,4.06,0.21,0.28,0.07,0.21,1.19,1.75,16.87,0.35,1.33,0.84,74%,1.12,80%,85%,2.87,0.28,0.14,0.35,0.07
,  ,João Machado,£55K  £170K,1,97,Ligue 2 BKT,7.28,5.42,0.97,,0,0,,0,9.3km,0.22,47.3,39.65,4.23,2.97,4.08,0,0.07,0.07,0.37,1.04,0.97,13.81,0.15,0.82,1.04,74%,1.04,88%,84%,2,0.07,,0.15,
,  ,Thorsten Polzin,£240K  £700K,1.4,97,3. Liga,8.6,5.33,1.13,,0.07,0,0%,0,10.0km,,49.33,41.73,3.73,2.33,3.47,0.07,0.47,0,0.53,1.67,1.47,21.53,0.47,1.4,1.2,62%,1.53,92%,85%,3.33,0.27,,0.47,
,  ,Ersan Gündüz,£50K  £150K,0.64,97,Turkish Super League,8.72,6.88,1.19,,0.09,0,0%,0,10.9km,0.09,52.57,43.94,3.85,3.94,3.76,0.09,0.37,0,0.46,1.56,1.28,13.94,0.18,1.1,1.56,79%,1.01,92%,84%,2.94,0.18,,0.18,
,  ,Manu Cordero,£16K  £45K,1,97,Spanish Federation First Division A,6.91,5.18,0.18,,0.09,0,0%,0,8.1km,,45.09,36.73,4,2.45,3.09,0.18,0.64,0.27,0.91,1.64,1.36,14.91,0.91,0.36,0.73,75%,0.36,67%,81%,2.18,0.18,,0.91,
,  ,Marco Bohro,£20K  £65K,0.73,97,3F Superliga,9.65,6.75,1.18,,0,0,,0,10.7km,,52.02,43.31,4.86,4.08,3.3,0.16,0.24,0.16,0.94,1.41,1.02,12.55,0.24,0.39,1.49,70%,0.63,89%,83%,2.12,0,,0.24,
,  ,Dmitry Selemenev,Not for Sale,1.05,97,Russian First Division,8.13,6.08,1.02,,0.05,0,0%,0,9.3km,0.11,45.75,38.43,3.71,2.48,2.48,0.05,0.38,0,0.32,1.08,1.18,13.73,0.27,1.08,0.75,75%,1.56,100%,84%,2.69,0.22,0.16,0.27,
Inj,  ,Andre Keßner,£45K  £140K,1.36,96,German Regional Division West,9.45,5.55,0.82,,0.18,0,0%,0,10.5km,,53.73,47.73,4.18,3.27,3.36,0.73,1.73,0.36,0.36,1.45,1,15.82,0.45,1.18,0.73,59%,1.09,80%,89%,2.73,0.27,,0.45,0.09
,  ,Jack Jones,£65K  £190K,2.38,96,JD Cymru Premier,8.93,6.31,1.02,100%,0.57,0.19,33%,1,10.8km,0.13,54.03,46.05,3.57,2.1,4.02,0.13,0.64,0.06,0.57,1.59,0.77,24.24,0.38,1.21,0.38,71%,1.34,95%,85%,3.13,0.32,0.06,0.38,0.06
,  ,Thomas Pech,£350K  £1M,1.29,96,Israeli Premier League,9.86,7.21,0.57,33%,0.21,0.07,33%,1,11.2km,0.07,54.57,46.71,5.21,2.71,4.29,0.21,0.5,0,0.71,2.07,1.93,19.71,0.71,1.07,1.07,73%,1.14,100%,86%,3.29,0.43,,0.71,0.07
,  ,Denis Osipov,£45K  £140K,2,96,Belarusian Highest League,8.36,6.92,1.29,,0,0,,0,11.0km,0.08,50.47,43.4,4.18,3.34,2.74,0.23,0.38,0,0.61,1.14,1.37,17.1,0.3,1.14,0.99,83%,1.37,95%,86%,3.5,0.15,,0.3,0.08
,  ,Frazer Orritt,£12K  £35K,1.29,96,Sky Bet League One,8.82,6.88,0.88,,0,0,,0,10.8km,0.12,54.06,47.47,3.53,3,3.76,0.18,0.65,0.12,0.41,1.59,1.47,12.82,0.47,1.53,0.71,78%,1.29,76%,88%,3.88,0.24,,0.47,
,  ,Zeno Cazzuffi,£55K  £160K,1.82,96,Italian Serie C/C,6.82,4.74,0.3,,0.1,0,0%,0,7.6km,0.1,44.46,38.53,3.16,1.78,3.75,0.3,0.89,0.3,0.49,1.58,0.89,19.46,0.59,0.79,0.69,70%,1.38,70%,87%,2.37,0.2,,0.59,0.1
Inj,  ,İsmail Akbulut,Not for Sale,0.83,96,Turkish 1. League,1.03,0.6,0,,0,0,,0,1.7km,,24.52,18.07,0.86,0.69,0.52,0.09,1.12,0.17,0.26,0.43,0.17,0.95,0.26,0,0,58%,1.81,100%,74%,0,0,,0.26,
,  ,Pietro Iacoviello,£35K  £100K,1.3,96,Italian Serie C/A,8,6.4,1.4,50%,0.2,0.1,50%,1,10.1km,,48.8,41.5,5.6,2.6,3.9,0.1,0.3,0,0.3,1,1,14.4,0.3,1.7,1.3,80%,1.7,77%,85%,3.7,0.2,0.1,0.4,
,  ,Axel Wirlmann,£95K  £275K,1.6,96,3. Liga,8.8,6.27,0.87,,0.07,0,0%,0,9.9km,,48.87,43.8,5,2.8,3.87,0,0.2,0.07,0.4,1.33,1.13,16.93,0.27,0.93,1.4,71%,0.8,80%,90%,2.4,0.2,0.07,0.27,0.07
,  ,Nikola Lazić,£22K  £65K,1.53,96,Serbian First League,7.12,5.39,0.86,,0.07,0,0%,0,8.6km,,44.42,38.1,3.67,2.52,1.73,0.22,0.58,0.22,0.43,1.29,0.72,15.67,0.14,0.93,0.79,76%,1.37,95%,86%,2.3,0.07,,0.14,0.07
,  ,Claudio Pisa,£22K  £65K,1,96,Italian Serie B,7.45,5.64,0.55,,0.09,0,0%,0,11.2km,0.18,54.73,49.27,5.09,3.82,4.45,0.27,0.55,0.18,0.45,1.91,1.18,12.55,0.73,1.27,0.36,76%,1.09,80%,90%,3,0.45,0.09,0.73,
,  ,Bergsveinn Ás Gunnarsson,£20K  £60K,1.82,96,Icelandic Premier Division,9.57,7.03,1.11,,0.13,0,0%,0,10.8km,0.13,52.24,43.5,4.47,3.55,3.64,0.19,0.6,0.1,0.29,1.43,0.95,17.23,0.35,1.3,1.36,74%,1.01,73%,83%,3.39,0.19,0.13,0.35,0.06
,  ,Sandy Stout,£60K  £180K,1.29,96,cinch Championship,9.16,7.17,1.57,50%,0.12,0.06,50%,1,10.7km,0.24,52.59,44.04,4.76,3.07,3.07,0.24,0.6,0.24,0.42,1.87,0.78,18.07,0.24,1.87,1.08,78%,1.81,86%,84%,4.04,0.3,0.06,0.24,
,  ,Ricardo Monteiro,£180K  £550K,1.62,96,cinch Championship,7.85,5.15,0.69,50%,0.15,0.08,50%,1,10.7km,0.15,50.08,43.31,4.85,3.46,3.92,0.38,0.77,0.38,0.08,1.69,0.69,16.62,0.15,1.08,0.54,66%,0.69,60%,86%,3.77,0.23,0.08,0.15,
Loa,  ,Alessandro Bismarck,£14K  £45K,1.36,96,3. Liga,6.9,5.69,0.95,,0,0,,0,10.0km,,49.91,44.4,4.91,3.62,2.84,0.17,0.86,0,0.6,1.21,1.38,12.67,0.26,1.12,0.95,83%,1.47,94%,89%,3.36,0.17,,0.26,
,  ,Hüseyin Türker,£14K  £40K,1.93,96,Belgian Challenger Pro League,9.9,7.73,1.56,,0.2,0,0%,0,11.5km,0.14,49.24,41.85,4.95,3.46,3.12,0.34,0.61,0.07,0.34,1.29,1.36,17.09,0.2,1.22,0.47,78%,1.02,75%,85%,3.19,0.2,,0.2,
,  ,Nikita Gubochkin,£65K  £200K,0.84,96,Russian Premier League,9.4,6.89,1.26,,0.11,0,0%,0,10.7km,0.16,54.79,47.57,4.48,4.16,3.77,0.11,0.27,0.05,0.77,2.02,1.04,13.07,0.44,1.09,1.15,73%,0.87,73%,87%,3.66,0.16,0.16,0.44,0.05
,  ,Ignat Nesterov,£65K  £200K,1.38,96,Belarusian Highest League,8.47,6.48,1.49,,0.17,0,0%,0,11.1km,0.08,55.96,44.67,4.65,3.4,3.24,0.08,0.33,0.08,0.66,1.91,1.16,16.85,0.5,1.74,0.25,76%,1.58,90%,80%,3.4,0.58,,0.5,0.08
,  ,Antonio Allegrucci,£40K  £120K,1,95,Italian Serie C/C,,,0,,0,0,,0,0.0km,,20,13.36,0,0,0,0,0.45,0,,0,,0,0,0,0,,1.64,95%,67%,0,0,,,
,  ,Tim Arends,£30K  £90K,1.86,95,Belgian First National Amateur Division,8.43,5.36,1.07,,0.07,0,0%,0,10.5km,0.14,53.36,46.5,4.64,2.57,3.43,0.14,0.64,0.07,0.5,2.07,1.5,15.79,0.36,1.21,0.43,64%,0.93,76%,87%,3.43,0.14,0.14,0.36,0.07
Wnt,  ,Rafał Bocheński,£40K  £110K,1.88,95,Polish First Division,9.52,6.85,1.46,,0.12,0,0%,0,10.1km,0.12,50.34,44.03,5.64,3.27,3.4,0.24,0.61,0.06,0.3,1.09,1.09,14.37,0.12,1.09,0.24,72%,1.15,90%,87%,2.55,0.18,0.06,0.12,
,  ,Dawid Ostrowski,£4K  £12K,1.61,95,Polish First Division,8.4,5.84,0.96,25%,0.23,0.06,25%,1,10.2km,0.11,51.53,44.04,4.54,2.55,3.29,0.11,0.28,0,0.4,1.42,1.19,17.7,0.68,1.31,0.57,70%,1.19,84%,85%,3.23,0.4,0.11,0.68,
Int,  ,Paul Steffen,£650K  £1.9M,1.64,95,Austrian First Division,6.82,4.09,0.64,,0.27,0,0%,0,7.8km,0.18,43.09,35.18,3.45,3.09,3,0.09,0.45,0,0.09,1.27,0.73,11.64,0.27,1.09,0.36,60%,1.27,93%,82%,2.45,0.36,,0.27,
,  ,Jaroslav Hlavac,£24K  £75K,1.87,95,Slovak Second Division,9.6,6.73,0.93,28%,0.47,0.13,29%,2,10.3km,0.27,51.73,45.13,4.47,3.4,4.33,0.33,1,0.27,0.27,1.6,1.13,19,0.27,1.47,0.53,70%,1.47,88%,87%,3.73,0.53,0.07,0.27,
,  ,Semming Enkerud,£75K  £230K,1.25,95,Norwegian Premier Division,9.73,6.55,1.13,,0.07,0,0%,0,10.5km,0.07,50.81,43.06,4.3,5.14,4.3,0,0.07,0.07,0.63,1.76,0.99,11.35,0.21,1.27,0.7,67%,1.27,90%,85%,3.17,0.35,,0.21,
,  ,Robbie Sneddon,£24K  £70K,1.08,95,cinch League 1,9.75,6.81,1.22,,0,0,,0,10.5km,0.3,52.01,43.48,4.57,4.88,3.25,0.1,0.51,0.2,0.51,1.63,0.51,14.02,0.1,1.52,0.51,70%,1.52,100%,84%,4.37,0.1,0.1,0.1,
,  ,Frank Lindgren,£22K  £65K,1.82,95,Gibraltar Football League,9.91,7.45,1,,1.36,0.18,13%,0,11.4km,0.18,54.55,45.64,5.82,2.45,3.73,0.09,0.27,0,0.82,2,1.27,22.45,0.82,1.09,0.45,75%,0.64,54%,84%,3.09,0.09,0.27,0.82,0.18
,  ,Vicente Romano,£3K  £9K,1,95,Argentine Premier Division,,,0,,0,0,,0,0.0km,,20.7,14.77,0,0,0,0,0.68,0.04,,0,,0,0,0,0,,1.63,100%,71%,0,0,,,
,  ,Tomáš Váňa,£160K  £475K,1.28,95,Romanian Second League,8.31,5.63,0.68,50%,0.11,0.06,50%,1,10.2km,0.17,51.43,44.03,4.89,3.36,3.3,0.11,0.68,0.17,0.4,1.37,1.31,15.3,0.34,1.31,0.46,68%,1.08,73%,86%,3.53,0.28,,0.34,
,  ,Davide Bella,Not for Sale,0.5,95,Italian Serie C/A,10,7,1.2,,0.2,0,0%,0,11.4km,,53.2,43.5,3.3,3.6,3.9,0.5,1.1,0.3,0.6,2.1,1.3,19.5,0.3,1.2,0.4,70%,1.2,100%,82%,2.3,0.3,0.1,0.3,0.1
U19,  ,Marius Brenden,£160K  £475K,1,95,Norwegian Third Division Group 3,,,0,,0,0,,0,0.0km,,20.67,14.61,0,0,0,0,0.47,0.19,,0,,0,0,0,0,,2.16,96%,71%,0,0,,,0.19
,  ,Andreas Granzow,£30K  £95K,1.28,95,Bulgarian Second League,4.95,2.77,0.53,,0.66,0,,0,5.5km,,39.92,32.07,2.24,2.24,1.65,0,0.33,0.07,0.26,1.19,0.66,8.71,0.26,0.2,0.33,56%,1.12,100%,80%,0.79,0,,0.26,0.13
,  ,Cenk Kara,£150K  £450K,0.5,95,Keuken Kampioen Divisie,6.67,3.83,0.58,33%,0.25,0.08,33%,1,10.0km,,49.33,43.75,5.08,3.25,3.58,0.42,1.17,0.17,0.17,1.17,1.33,17.83,0.25,1.08,0.5,58%,1.17,82%,89%,2.67,0.33,,0.25,
,  ,Sam Zoetebier,£7K  £22K,0.95,95,Irish Premier Division,9.09,6.74,1.25,50%,0.06,0.03,50%,1,10.8km,0.14,51.22,43.27,4.13,4.43,3.52,0.03,0.39,0.08,0.36,1.52,1.52,14.77,0.3,1.19,0.42,74%,0.86,67%,84%,3.24,0.22,0.03,0.3,0.03
Wnt,  ,Tobias Eriksson,£20K  £55K,1.29,95,Swedish First Division South,3.03,1.97,0.44,33%,0.09,0.03,33%,1,4.6km,0.06,34.03,27.13,2.21,1.44,1.74,0.06,0.65,0.15,0.12,0.68,0.5,8.6,0.21,0.8,0.56,65%,1.53,85%,80%,1.89,0.15,0.06,0.21,0.06
,  ,Lubomir Bobček,£100K  £300K,0.87,95,Slovak First Division,7.58,5.51,0.55,,0.07,0,0%,0,10.9km,,52.37,43.69,4.48,3.79,3.79,0,0.28,0.14,0.55,1.45,1.86,13.23,0.28,0.96,0.76,73%,0.83,80%,83%,2.96,0.28,,0.28,0.07
,  ,Maciej Płotka,£12K  £40K,1.62,95,Polish First Division,8.97,6.51,0.66,,0.2,0,0%,0,10.4km,0.07,49.65,43.01,4.19,2.73,3.32,0.53,0.93,0.13,0.47,1.46,1.06,16.82,0.47,1.2,0.6,73%,1.13,77%,87%,2.73,0.33,,0.47,
,  ,Ilias Stavrothanasopoulos,£110K  £325K,1.09,95,Greek Super League 1,8.82,6.73,0.91,,0.09,0,0%,0,10.0km,0.09,51.82,41,4.18,3.36,3.82,0.09,0.27,0,0.36,1.82,1.27,14.09,0.36,1.64,0.64,76%,1.36,83%,79%,4.18,0.27,,0.36,
,  ,Oshri Edri,£0,1.87,95,Israeli A League North Division,9.6,7.13,1.13,,0.27,0,0%,0,11.2km,,52.33,41.93,5.4,1.93,3.8,0.4,1.33,0.2,0.4,1.53,1.07,30.4,0.2,1.27,0.33,74%,1,75%,80%,2.87,0.2,0.07,0.2,0.07
,  ,Zev van Wegen,£18K  £55K,2.56,95,Dutch Tweede Divisie,9.06,6.94,1.12,33%,0.19,0.06,33%,1,10.6km,,55.06,48.44,3.69,2.56,3.56,0.06,0.44,0.06,0.44,1.38,1.69,24.75,0.56,0.88,0.56,77%,0.81,76%,88%,3.31,0.19,0.06,0.56,0.12
Wnt,  ,Prince Nyandoro,£18K  £50K,1,95,Zimbabwean Premier Division,,,0,,0,0,,0,0.0km,,20,14.5,0,0,0,0,0.4,0.17,,0,,0,0,0,0,,1.93,98%,73%,0,0,,,0.13
,  ,Moris Elmalah,£30K  £95K,1.58,95,Israeli National League,9.23,6.44,0.96,,0,0,,0,10.6km,0.09,51.62,43.69,5.4,3.83,2.96,0,0.17,0,1.04,0.87,1.91,16.02,0.26,0.7,0.26,70%,0.96,100%,85%,2.52,0,,0.26,0.09
,  ,Michael Mohammed,£45K  £140K,1.45,94,Spanish Federation Second Group 1,3.27,2.45,0.45,,0,0,,0,3.9km,,30.91,25.09,1.45,1,1.64,0,0.45,0.09,0.09,0.55,0.73,7.27,0,0.45,0.18,75%,1.82,87%,81%,1.09,0,,,0.27
,  ,Tom Rudi,£1.5K  £4.5K,1.43,94,Norwegian Second Division Group 2,3.41,2.04,0.4,,0.04,0,0%,0,4.1km,,31.67,25.2,1.77,0.89,1.77,0.09,0.35,0,0.31,0.53,0.31,9.04,0.18,0.35,0.66,60%,1.68,97%,80%,0.93,0.09,,0.18,0.09
,  ,Pedro Valero,£22K  £65K,1.1,94,Spanish Federation Second Group 5,6.5,4.5,0.4,,0,0,,0,8.1km,,44,35.1,3.6,2,2.6,0.1,0.6,0.1,0.4,1.1,1.3,15.3,0.3,1,0.5,69%,1.4,88%,80%,2.7,0.2,,0.3,0.1
Int,  ,Ashar Merencia,£160K  £475K,1.88,94,Polish First Division,8.63,6.98,1.16,,0.06,0,0%,0,10.2km,0.12,50.2,40.22,3.73,3.18,3.37,0.31,0.92,0.31,0.37,1.35,1.29,20.08,0.31,0.98,1.53,81%,1.1,86%,80%,2.33,0.12,,0.31,0.06
,  ,Ladack Efrem,£4K  £12K,1.11,94,Norwegian Second Division Group 2,3.4,2.38,0.33,,0.07,0,0%,0,4.6km,0.11,34.28,27.91,2.05,1.13,1.61,0.15,0.7,0.18,0.29,0.66,0.48,9.44,0.15,0.51,0.44,70%,1.54,95%,81%,1.54,0.07,,0.15,0.11
,  ,Levent Vural,£4K  £12K,0.92,94,Turkish 1. League,0.85,0.46,0,,0,0,,0,1.7km,,24.85,19.45,1.39,1,0.54,0,0.15,0,0.15,0.23,0.31,1.39,0.23,0,0,55%,1.78,92%,78%,1.78,0,,0.23,
Inj,  ,Maicol Puerta,£75K  £220K,1.09,94,Portuguese Third Division,8.34,4.71,0.79,,0.1,0,0%,0,11.0km,0.2,51.53,44.36,3.44,3.24,3.73,0.29,0.49,0.2,0.49,1.18,1.28,13.54,0.29,0.79,0.2,56%,0.69,78%,86%,3.34,0.2,0.1,0.29,
,  ,Thijs Boekweg,£75K  £220K,1.86,94,Keuken Kampioen Divisie,7.35,5.46,1.09,,0.36,0,0%,0,9.4km,0.07,47.04,40.41,4.51,3.71,3.13,0.07,0.29,0,0.29,1.46,1.17,15.44,0.36,1.02,0.8,74%,1.31,100%,86%,2.48,0.07,0.07,0.36,0.07
,  ,Alexander Jensen,£2.5K  £7K,1.03,94,Norwegian First Division,7.1,5.46,0.91,20%,0.16,0.03,20%,1,8.7km,0.06,47.63,41.23,3.66,2.21,2.46,0.16,0.54,0.06,0.38,1.17,1.01,14.23,0.38,0.85,0.98,77%,1.07,87%,87%,2.46,0.22,0.03,0.38,0.09
,  ,Thomas Unterberger,£50K  £150K,1,94,3. Liga,9.29,6.57,0.86,,0.07,0,0%,0,10.4km,0.21,50.57,43.64,4.71,2.86,3.64,0.43,0.86,0.29,0.36,1.43,1.14,12.43,0.21,0.86,0.29,71%,0.93,93%,86%,2.5,0.14,,0.21,0.07
,  ,Adrian Frunză,£55K  £160K,1.16,94,Romanian Second League,6.95,4.68,0.79,,0,0,,0,8.0km,0.05,43.32,37.37,3.32,2.21,2.95,0.16,0.58,0,0.42,1.32,1.11,12,0.11,0.68,0.58,67%,1.05,87%,86%,2.11,0.11,0.11,0.11,
,  ,Martín Kapinus,£130K  £375K,1,94,Argentine Second Division,,,0,,0,0,,0,0.0km,,20,13.79,0,0,0,0,0.62,0.12,,0,,0,0,0,0,,1.82,100%,69%,0,0,,,0.03
,  ,Charles Daniel,£35K  £100K,1.31,94,Sky Bet League One,8.71,6.27,1.05,,0,0,,0,10.9km,,50.45,44.35,4.01,4.53,3.75,0,0.09,0,0.61,2.35,1.57,13.68,0.52,1.05,0.87,72%,1.22,100%,88%,3.14,0.17,0.09,0.52,0.09
,  ,Markus Ahr,£9K  £28K,1.12,94,Bundesliga 2,8.44,5.69,0.63,,0,0,,0,10.8km,0.13,54.41,46.72,5,3.44,3.25,0.13,0.31,0.13,0.5,1.5,1.31,14.26,0.44,1.19,1.88,67%,1.13,86%,86%,3.06,0.31,0.06,0.44,0.06
,  ,Robbie O'Brien,£28K  £85K,1.28,94,Sky Bet League One,8.62,6.79,0.94,40%,0.3,0.12,40%,2,10.8km,0.06,56.3,48.22,4.31,3.3,4.43,0.06,0.41,0.06,0.53,1.18,1.36,15.64,0.24,1.36,0.94,79%,1.24,84%,86%,4.19,0.24,0.12,0.24,
,  ,Patrick Jeck,£50K  £150K,2,94,Polish First Division,9.66,7.27,1.03,,0.07,0,0%,0,11.4km,0.07,55.73,48.6,4.25,2.19,3.77,0.27,0.41,0.07,0.69,1.78,1.3,16.59,0.41,1.1,0.48,75%,1.23,95%,87%,3.08,0.21,,0.41,0.07
Wnt,  ,Michał Szymkowiak,£1.5K  £4.5K,1.06,94,Swedish First Division South,0.57,0.37,0.07,,0,0,,0,0.7km,,22.87,16.47,0.23,0.13,0.17,0,0.2,0.07,0.07,0.1,0.17,1,0,0,0.07,65%,1.83,100%,72%,0.23,0,,,0.1
,  ,Thomas Westerberg,Not for Sale,1,94,Chinese Super League,,,0,,0,0,,0,0.0km,,20,13.88,0,0,0,0,0.5,0.04,,0,,0,0,0,0,,1.75,95%,69%,0,0,,,0.04
,  ,Ismaël Lenaerts,£65K  £200K,1.71,94,Belgian First National Amateur Division,9.05,7.42,1.19,,0,0,,0,10.5km,,51.64,41.62,4.67,3.19,2.82,0.3,0.89,0.07,0.74,2.15,1.04,16.55,0.22,1.34,0.52,82%,1.34,100%,81%,3.26,0.07,,0.22,
Loa,  ,Kay Zorniger,£22K  £70K,2,94,German Regional Division Southwest,8.6,6.1,1.6,,0,0,,0,11.0km,0.1,51.9,43.5,4.8,3.5,3,0,0.7,0.1,0.2,1.1,1.4,20.5,0.1,2,0.4,71%,1.4,70%,84%,3.5,0,0.2,0.1,
,  ,Sascha Engelhard,£120K  £350K,1.13,94,German Regional Division Southwest,8.26,5.1,1.05,33%,0.23,0.08,33%,1,10.4km,0.15,48.57,41.58,4.2,3.15,3.08,0.15,0.45,0.08,0.45,1.73,1.13,16.59,0.45,1.05,0.6,62%,0.9,80%,86%,2.85,0.3,0.15,0.45,
,  ,Prince Nkounkou Mvoutou,£120K  £350K,1.1,94,Optibet Virsliga,9.28,5.82,1.13,,0.11,0,0%,0,10.9km,0.05,50.69,41.9,4.53,3.56,3.83,0.05,0.16,0,0.43,1.89,1.08,12.89,0.27,1.35,0.65,63%,1.35,96%,83%,3.45,0.27,0.11,0.27,
Inj,  ,Alex Kabeya,£60K  £180K,1.83,94,Sky Bet League One,8.75,6.01,0.99,50%,0.12,0.06,50%,1,11.6km,0.06,53.02,45.15,6.07,2.97,4.32,0,,,0.47,1.92,1.81,14.35,0.29,0.93,0.52,69%,0.87,88%,85%,3.27,0.23,0.06,0.29,
,  ,Manuel Avilés,£18K  £50K,1.55,94,Spanish Federation First Division A,8.71,6.87,1.16,,0.1,0,0%,0,10.3km,0.29,51.68,41.81,4.16,2.61,3.68,0.19,0.48,0,0.29,1.65,0.97,22.06,0.29,1.74,0.39,79%,1.55,80%,81%,4.26,0.19,,0.29,
,  ,Andriy Sobko,£40K  £120K,2.11,94,Slovak Second Division,8.74,6.68,0.5,,0.06,0,0%,0,10.0km,,50.85,40.71,4.85,2.73,2.9,0.11,0.78,0.11,0.89,1.28,1.5,17.71,0.45,0.67,1.34,76%,0.67,71%,80%,2.84,0.17,0.17,0.45,0.06
,  ,Marius Codorean,£16K  £45K,1.91,93,Spanish Federation First Division B,10.15,7.32,1.1,,0.09,0,0%,0,10.8km,0.09,52.77,43.63,4.94,3.2,3.29,0.27,1.37,0.27,0.55,1.92,1.19,16.55,0.46,1.55,0.27,72%,1.37,83%,83%,4.21,0.55,0.09,0.46,
Wnt,  ,Luka Kanižaj,£24K  £70K,2.63,93,Latvian Future League,8.18,5.16,0.47,,0.2,0,0%,0,10.9km,0.07,51.84,44.75,4.61,2.24,3.53,0.44,1.46,0.41,0.41,1.7,1.22,26.63,0.37,1.26,0.17,63%,1.15,89%,86%,3.26,0.24,0.17,0.37,0.07
,  ,Večeslav Lackovic,£22K  £65K,1.79,93,Croatian Second League,7.43,6.43,1.07,,0.07,0,0%,0,8.8km,0.14,45,36.79,3.29,2.64,2.93,0.07,0.21,0,0.29,1.57,0.43,14.43,0.36,1.14,0.5,87%,1.57,96%,82%,2.14,0.14,,0.36,0.07
,  ,Artem Kostyukevich,£35K  £110K,1.73,93,Belarusian Highest League,9.53,7.17,1.09,,0,0,,0,11.0km,0.13,52.71,44.58,3.8,3.32,2.67,0.31,0.66,0.17,0.44,1.88,1.27,17.13,0.09,1.31,0.96,75%,1.18,87%,85%,3.54,0.04,0.04,0.09,
,  ,Vuk Milivojević,£95K  £275K,1.25,93,Swiss Challenge League,9.16,7.05,1.23,,0.09,0,0%,0,11.3km,0.09,51.78,42.62,5.28,3.61,3.08,0.18,0.53,0,0.53,1.14,1.41,12.59,0.26,1.32,0.62,77%,1.06,75%,82%,3.61,0.09,,0.26,
Inj,  ,Iván Blanco,£3K  £9K,1.6,93,Israeli National League,8.1,5.9,0.7,,0.1,0,0%,0,10.4km,,52.4,43.5,4.4,3.2,4.1,0.2,0.4,0,0.8,1.6,1.4,18,0.5,0.6,0.7,73%,0.8,100%,83%,2.7,0.2,,0.5,
Loa,  ,Óscar Casanova,£3K  £8K,1.5,93,Spanish Federation Second Group 3,5.74,4.98,0.87,,0,0,,0,5.7km,,36.93,31.84,2.92,0.97,2.38,0.11,0.54,0.11,0.11,0.87,0.54,14.51,0.11,0.87,0.22,87%,0.87,67%,86%,1.84,0.11,0.22,0.11,
,  ,Lars Flügge,£275K  £800K,1.43,93,Austrian Premier Division,9.19,7,1.33,66%,0.14,0.1,67%,2,11.7km,0.19,55,45.95,6.19,4.57,3.71,0.05,0.33,0.05,0.43,1.48,0.95,11.1,0.29,1.48,1.19,76%,1.38,91%,84%,3.14,0.14,,0.29,0.05
,  ,Mousa AlMutairi,£95K  £300K,1,93,Saudi First Division League,,,0,,0,0,,0,0.0km,,20,14.21,0,0,0,0,0.21,0.07,,0,,0,0,0,0,,1.79,100%,71%,0,0,,,0.14
Int,  ,Matt González,£6.6M  £20M,1.24,93,Major League Soccer,3.03,1.65,0.33,,0.06,0,0%,0,4.8km,,34.83,27.78,2.52,1.77,1.17,0.03,0.27,0.06,0.24,0.48,0.6,4.35,0.12,0.36,0.09,54%,1.35,98%,80%,1.14,0.06,,0.12,0.15
U19,  ,Andoni Sarriegi,£55K  £170K,1.09,93,French National 2  A,1.64,0.91,0.18,,0,0,,0,2.1km,,25.18,19.82,0.55,0.82,0.27,0,0.45,0.18,0.09,0.27,0.45,3.91,0,0.18,0,56%,1.64,95%,79%,0.36,0,,,
